randomization2,item,name,sentence_intro,sentence_guess1,sentence_guess2,sentence_outcome1,sentence_outcome2,question,disjunction_type,condition,type,file_name_intro,file_name_guess,file_name_outcome,imgur_intro,imgur_guess,imgur_outcome
1,21,p1,Ruth is studying art. ,Her professor makes a guess:  ,'Ruth will build a sculpture.',Here's what happened:,She painted a landscape. ,Was the guess right?,0,wrong,practice,p1.intro.JPG,guess.jpg,p1.false.JPG,https://imgur.com/yfl7Zfm.jpg,https://i.imgur.com/vZ095ne.jpg,https://imgur.com/ovf1XA0.jpg
2,22,p2,John loves hiking.  ,His partner makes a guess: ,'John will climb a mountain tomorrow.',Here's what happened:,He went rock-climbing.,Was the guess right?,0,right,practice,p2.intro.JPG,guess.jpg,p2.true.JPG,https://imgur.com/Y4ypK6T.jpg,https://i.imgur.com/vZ095ne.jpg,https://imgur.com/jnB4TAm.jpg
3,19,f7,There’s a theater premiere tonight.,The director makes a guess:,'Some of the actresses will be wearing hats.',Here's what happened:,Only some of the actresses were wearing hats.,Was the guess right?,some,right,filler,f7.intro.JPG,guess.jpg,f7.some.JPG,https://i.imgur.com/cCWSUrf.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/JgY4KVA.jpg
4,9,sc3,Mike got a train and an airplane for his birthday.,His grandma makes a guess:,'Mike will play with the train or the airplane.',Here's what happened:,He only played with the airplane.,Was the guess right?,simplex,only one,target,sc3.intro.JPG,guess.jpg,sc3.one.JPG,https://i.imgur.com/oV1N8gF.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/g750pPU.jpg
5,14,f2,Benny woke up from a nap.,The babysitter makes a guess:,'Benny will play with all of his toys.',Here's what happened:,He only played with the train and the airplane.,Was the guess right?,some,wrong,filler,f2.intro.JPG,guess.jpg,f2.some.JPG,https://i.imgur.com/xBBrOBm.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/VWibU6W.jpg
6,2,st2,Next week will be Rory’s birthday.,Her cousin makes a guess:,'Rory will bring her flowers or balloons.',Here's what happened:,She brought both.,Was the guess right?,simplex,both,target,st2.intro.JPG,guess.jpg,st2.both.JPG,https://i.imgur.com/zAHZbVz.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/Lj4lLba.jpg
7,10,cc1,Alex is cooking dinner for his mother.,His sister makes a guess:,'Alex will cook either pizza or pasta.',Here's what happened:,He cooked pasta.,Was the guess right?,complex,only one,target,cc1.intro.JPG,guess.jpg,cc1.one.JPG,https://i.imgur.com/4UKNBuJ.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/QhI4uWD.jpg
8,4,ct1,Jen is going to a wedding with a blue theme. ,Her sister makes a guess:,'Jen will wear either the blue dress or the blue shoes.',Here's what happened:,She wore both.,Was the guess right?,complex,both,target,ct1.intro.JPG,guess.jpg,ct1.both.JPG,https://i.imgur.com/6x0YWqd.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/zrOKuhE.jpg
9,18,f6,The village is having a fair.,My friend makes a guess:,'All of the balloons will be blue.',Here's what happened:,All the balloons were red.,Was the guess right?,none,wrong,filler,f6.intro.JPG,guess.jpg,f6.none.JPG,https://i.imgur.com/VPjlDLY.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/emCHyD9.jpg
10,8,sc2,Sofie remembered that it’s her turn to clean the apartment.,Her roommate makes a guess:,'Sofie will clean the kitchen or the bathroom.',Here's what happened:,She only cleaned the bathroom.,Was the guess right?,simplex,only one,target,sc2.intro.JPG,guess.jpg,sc2.one.JPG,https://i.imgur.com/ynbSOjO.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/0G1CzBD.jpg
11,17,f5,There is a storm tonight.,My neighbor makes a guess:,'All of the trees will fall down.',Here's what happened:,All the trees fell down.,Was the guess right?,all,right,filler,f5.intro.JPG,guess.jpg,f5.all.JPG,https://i.imgur.com/ekg3dvE.jpg,https://i.imgur.com/vZ095ne.jpg,https://imgur.com/LmNriZ5.jpg
12,1,st1,Laura decided to start a garden.,Her sister makes a guess:,'Laura will plant a peach or an apple tree.',Here's what happened: ,She planted both.,Was the guess right?,simplex,both,target,st1.intro.JPG,guess.jpg,st1.both.JPG,https://i.imgur.com/NIphmXV.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/HTmJuZA.jpg
13,15,f3,It’s Ana’s first day of school. ,Her mom makes a guess:,'All of the children will bring a flower.',Here's what happened:,All the children brought flowers and baloons.,Was the guess right?,all,right,filler,f3.intro.JPG,guess.jpg,f3.all.JPG,https://i.imgur.com/sMGaH2o.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/UhaKc1g.jpg
14,5,ct2,John is going to the market.,His roommate makes a guess.,'John will buy either an eggplant or a pumpkin.',Here's what happened:,John bought both. ,Was the guess right?,complex,both,target,ct2.intro.JPG,guess.jpg,ct2.both.JPG,https://i.imgur.com/NZd5Sb7.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/TRmmu38.jpg
15,20,f8,Maria finished gardening for today.,Her neighbour makes a guess:,'Maria will put some of the tools back in the shed.',Here's what happened:,She put everything in the shed.,Was the guess right?,all,either,filler,f8.intro.JPG,guess.jpg,f8.all.JPG,https://i.imgur.com/ssyd1Gy.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/PytS2R0.jpg
16,3,st3,Joan wants to build something for her garden.,Her partner makes a guess:,'Joan will build a table or a chair.',Here's what happened:,She built both.,Was the guess right?,simplex,both,target,st3.intro.JPG,guess.jpg,st3.both.JPG,https://i.imgur.com/h9Lh64y.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/joGJ4mv.jpg
17,13,f1,Mary wants to eat something.,Her father makes a guess:,'Mary will eat some of the pasta.',Here's what happened:,She only ate ice-cream.,Was the guess right?,none,wrong,filler,f1.intro.JPG,guess.jpg,f1.none.JPG,https://i.imgur.com/veU443S.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/mgqJX2J.jpg
18,6,ct3,Lara is invited to a gala and needs to decide what to wear.,Her aunt makes a guess:,'Lara will wear either a necklace or a hat.',Here's what happened:,She wore both.,Was the guess right?,complex,both,target,ct3.intro.JPG,guess.jpg,ct3.both.JPG,https://i.imgur.com/MrBvA1f.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/0i7tATb.jpg
19,7,sc1,Mark is organizing an office party.,His colleague makes a guess:,'John or Mary will come to the party.',Here's what happened:,Only John came.,Was the guess right?,simplex,only one,target,sc1.intro.JPG,guess.jpg,sc1.one.JPG,https://i.imgur.com/2JCkajI.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/iWLfkcX.jpg
20,11,cc2,Gabe has a day off.,His best friend makes a guess:,'Gabe will either knit or paint.',Here's what happened:,He only knitted.,Was the guess right?,complex,only one,target,cc2.intro.JPG,guess.jpg,cc2.one.JPG,https://i.imgur.com/vfRxBfL.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/ArUVdlb.jpg
21,16,f4,It’s Joan’s party tonight.,Her friend makes a guess:,'Some of the guests will wear birthday hats.',Here's what happened:,They all wore birthday hats.,Was the guess right?,all,either,filler,f4.intro.JPG,guess.jpg,f4.all.JPG,https://i.imgur.com/2zP50Ae.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/QFqZw4p.jpg
22,12,cc3,Mike is going for a walk.,His sister makes a guess:,'Mike will either put on a hat or a scarf.',Here's what happened:,He only put on a scarf.,Was the guess right?,complex,only one,target,cc3.intro.JPG,guess.jpg,cc3.one.JPG,https://i.imgur.com/0y8KTWF.jpg,https://i.imgur.com/vZ095ne.jpg,https://i.imgur.com/MI6h3HD.jpg
